branch,checkpoint_step,cumulative_step,prompt_epoch,score_cmd_f1_x100,next_action_score,first_cmd_exact_pct,valid_json_pct,early_f1_x100,mid_f1_x100,late_f1_x100,file
continuation,10,1890,2.52,50.75,50.46,49.8,76.2,,,,lfm25-echo-rlvr-continue-checkpoint-10.json
continuation,20,1900,2.533333333333333,52.76,51.78,49.5,77.6,,,,lfm25-echo-rlvr-continue-checkpoint-20.json
continuation,30,1910,2.546666666666667,52.03,51.36,49.8,76.6,,,,lfm25-echo-rlvr-continue-checkpoint-30.json
continuation,40,1920,2.56,52.09,51.61,50.5,77.2,,,,lfm25-echo-rlvr-continue-checkpoint-40.json
continuation,50,1930,2.5733333333333333,51.63,51.59,51.5,76.2,,,,lfm25-echo-rlvr-continue-checkpoint-50.json
continuation,60,1940,2.5866666666666664,52.14,51.44,49.8,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-60.json
continuation,70,1950,2.6,51.87,50.95,48.8,77.9,,,,lfm25-echo-rlvr-continue-checkpoint-70.json
continuation,80,1960,2.6133333333333333,52.76,51.78,49.5,76.6,,,,lfm25-echo-rlvr-continue-checkpoint-80.json
continuation,90,1970,2.6266666666666665,51.62,51.49,51.2,74.6,,,,lfm25-echo-rlvr-continue-checkpoint-90.json
continuation,100,1980,2.64,51.56,52.02,53.1,77.6,,,,lfm25-echo-rlvr-continue-checkpoint-100.json
continuation,110,1990,2.6533333333333333,52.38,51.52,49.5,75.6,,,,lfm25-echo-rlvr-continue-checkpoint-110.json
continuation,120,2000,2.6666666666666665,51.09,51.21,51.5,75.2,,,,lfm25-echo-rlvr-continue-checkpoint-120.json
continuation,130,2010,2.68,51.87,50.77,48.2,78.2,,,,lfm25-echo-rlvr-continue-checkpoint-130.json
continuation,140,2020,2.6933333333333334,51.77,51.48,50.8,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-140.json
continuation,150,2030,2.7066666666666666,51.87,51.16,49.5,76.6,,,,lfm25-echo-rlvr-continue-checkpoint-150.json
continuation,160,2040,2.72,52.37,51.3,48.8,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-160.json
continuation,170,2050,2.7333333333333334,51.11,50.84,50.2,75.2,,,,lfm25-echo-rlvr-continue-checkpoint-170.json
continuation,180,2060,2.7466666666666666,51.76,51.86,52.1,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-180.json
continuation,190,2070,2.76,52.31,51.86,50.8,77.9,,,,lfm25-echo-rlvr-continue-checkpoint-190.json
continuation,200,2080,2.7733333333333334,51.69,50.73,48.5,75.6,,,,lfm25-echo-rlvr-continue-checkpoint-200.json
continuation,210,2090,2.7866666666666666,51.75,51.85,52.1,76.2,,,,lfm25-echo-rlvr-continue-checkpoint-210.json
continuation,220,2100,2.8,53.26,52.34,50.2,77.2,,,,lfm25-echo-rlvr-continue-checkpoint-220.json
continuation,250,2130,2.84,53.05,52.88,52.5,74.9,,,,lfm25-echo-rlvr-continue-checkpoint-250.json
continuation,300,2180,2.9066666666666667,50.58,49.87,48.2,76.2,,,,lfm25-echo-rlvr-continue-checkpoint-300.json
continuation,350,2230,2.973333333333333,50.94,50.6,49.8,76.6,,,,lfm25-echo-rlvr-continue-checkpoint-350.json
continuation,400,2280,3.04,52.18,51.47,49.8,77.6,,,,lfm25-echo-rlvr-continue-checkpoint-400.json
continuation,450,2330,3.1066666666666665,50.72,51.13,52.1,76.2,,,,lfm25-echo-rlvr-continue-checkpoint-450.json
continuation,500,2380,3.1733333333333333,51.5,51.41,51.2,75.6,,,,lfm25-echo-rlvr-continue-checkpoint-500.json
continuation,540,2420,3.2266666666666666,51.52,51.12,50.2,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-540.json
continuation,550,2430,3.24,49.46,49.38,49.2,74.3,,,,lfm25-echo-rlvr-continue-checkpoint-550.json
continuation,560,2440,3.2533333333333334,52.43,51.55,49.5,76.9,,,,lfm25-echo-rlvr-continue-checkpoint-560.json
continuation,570,2450,3.2666666666666666,50.97,50.44,49.2,75.9,,,,lfm25-echo-rlvr-continue-checkpoint-570.json
continuation,580,2460,3.28,51.82,51.12,49.5,77.2,,,,lfm25-echo-rlvr-continue-checkpoint-580.json
continuation,590,2470,3.2933333333333334,50.15,49.95,49.5,74.3,,,,lfm25-echo-rlvr-continue-checkpoint-590.json
continuation,600,2480,3.3066666666666666,50.85,51.04,51.5,74.9,,,,lfm25-echo-rlvr-continue-checkpoint-600.json
continuation,610,2490,3.32,50.12,49.93,49.5,75.2,,,,lfm25-echo-rlvr-continue-checkpoint-610.json
continuation,620,2500,3.3333333333333335,51.62,50.68,48.5,75.6,,,,lfm25-echo-rlvr-continue-checkpoint-620.json
continuation,630,2510,3.3466666666666667,50.86,49.85,47.5,76.6,,,,lfm25-echo-rlvr-continue-checkpoint-630.json
continuation,740,2620,3.493333333333333,51.09,50.61,49.5,74.6,,,,lfm25-echo-rlvr-continue-checkpoint-740.json
continuation,750,2630,3.506666666666667,51.09,50.22,48.2,75.9,,,,lfm25-echo-rlvr-continue-checkpoint-750.json
continuation,760,2640,3.52,50.43,50.24,49.8,75.6,,,,lfm25-echo-rlvr-continue-checkpoint-760.json
parentrun,10,10,0.013333333333333334,51.54,51.14,50.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-10.json
parentrun,20,20,0.02666666666666667,52.34,51.7,50.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-20.json
parentrun,30,30,0.04,51.55,51.14,50.2,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-30.json
parentrun,40,40,0.05333333333333334,50.93,50.89,50.8,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-40.json
parentrun,50,50,0.06666666666666667,51.62,51.49,51.2,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-50.json
parentrun,60,60,0.08,52.09,51.4,49.8,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-60.json
parentrun,70,70,0.09333333333333334,51.26,50.73,49.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-70.json
parentrun,80,80,0.10666666666666667,52.55,52.23,51.5,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-80.json
parentrun,90,90,0.12,52.8,52.11,50.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-90.json
parentrun,100,100,0.13333333333333333,51.98,51.63,50.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-100.json
parentrun,110,110,0.14666666666666667,49.91,49.79,49.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-110.json
parentrun,120,120,0.16,52.28,51.96,51.2,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-120.json
parentrun,130,130,0.17333333333333334,51.3,51.06,50.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-130.json
parentrun,140,140,0.18666666666666668,50.96,50.52,49.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-140.json
parentrun,150,150,0.2,52.15,52.25,52.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-150.json
parentrun,160,160,0.21333333333333335,51.35,51.09,50.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-160.json
parentrun,170,170,0.22666666666666666,51.95,51.52,50.5,73.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-170.json
parentrun,180,180,0.24,52.76,53.07,53.8,73.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-180.json
parentrun,190,190,0.25333333333333335,51.79,51.19,49.8,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-190.json
parentrun,200,200,0.26666666666666666,52.15,51.44,49.8,73.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-200.json
parentrun,210,210,0.28,52.36,51.89,50.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-210.json
parentrun,220,220,0.29333333333333333,52.55,52.02,50.8,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-220.json
parentrun,230,230,0.30666666666666664,53.43,52.76,51.2,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-230.json
parentrun,240,240,0.32,52.55,51.73,49.8,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-240.json
parentrun,250,250,0.3333333333333333,52.04,51.58,50.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-250.json
parentrun,260,260,0.3466666666666667,50.96,51.51,52.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-260.json
parentrun,270,270,0.36,52.61,51.68,49.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-270.json
parentrun,280,280,0.37333333333333335,51.38,51.42,51.5,73.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-280.json
parentrun,290,290,0.38666666666666666,51.13,51.42,52.1,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-290.json
parentrun,300,300,0.4,50.69,50.63,50.5,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-300.json
parentrun,310,310,0.41333333333333333,51.08,50.61,49.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-310.json
parentrun,320,320,0.4266666666666667,52.81,51.43,48.2,74.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-320.json
parentrun,330,330,0.44,51.65,51.39,50.8,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-330.json
parentrun,340,340,0.4533333333333333,52.69,52.12,50.8,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-340.json
parentrun,350,350,0.4666666666666667,52.35,52.18,51.8,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-350.json
parentrun,360,360,0.48,52.83,53.03,53.5,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-360.json
parentrun,370,370,0.49333333333333335,52.51,51.7,49.8,74.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-370.json
parentrun,380,380,0.5066666666666667,51.55,51.23,50.5,74.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-380.json
parentrun,390,390,0.52,50.8,50.41,49.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-390.json
parentrun,400,400,0.5333333333333333,50.83,50.43,49.5,79.5,,,,lfm25-echo-rlvr-parentrun-checkpoint-400.json
parentrun,410,410,0.5466666666666666,53.11,52.81,52.1,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-410.json
parentrun,420,420,0.56,51.62,50.98,49.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-420.json
parentrun,430,430,0.5733333333333334,52.64,52.9,53.5,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-430.json
parentrun,440,440,0.5866666666666667,53.32,53.16,52.8,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-440.json
parentrun,450,450,0.6,51.03,50.87,50.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-450.json
parentrun,460,460,0.6133333333333333,49.86,49.45,48.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-460.json
parentrun,470,470,0.6266666666666667,52.7,52.73,52.8,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-470.json
parentrun,480,480,0.64,52.89,52.65,52.1,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-480.json
parentrun,490,490,0.6533333333333333,53.76,53.17,51.8,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-490.json
parentrun,500,500,0.6666666666666666,52.17,52.06,51.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-500.json
parentrun,510,510,0.68,51.01,50.65,49.8,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-510.json
parentrun,520,520,0.6933333333333334,51.61,51.49,51.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-520.json
parentrun,530,530,0.7066666666666667,51.84,51.53,50.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-530.json
parentrun,540,540,0.72,52.01,51.56,50.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-540.json
parentrun,550,550,0.7333333333333333,50.94,51.2,51.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-550.json
parentrun,560,560,0.7466666666666667,51.85,51.44,50.5,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-560.json
parentrun,570,570,0.76,52.42,51.54,49.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-570.json
parentrun,580,580,0.7733333333333333,51.86,51.36,50.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-580.json
parentrun,590,590,0.7866666666666666,52.88,52.38,51.2,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-590.json
parentrun,600,600,0.8,51.72,50.57,47.9,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-600.json
parentrun,610,610,0.8133333333333334,54.05,54.18,54.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-610.json
parentrun,620,620,0.8266666666666667,52.36,51.89,50.8,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-620.json
parentrun,630,630,0.84,53.4,52.23,49.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-630.json
parentrun,640,640,0.8533333333333334,53.21,52.79,51.8,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-640.json
parentrun,650,650,0.8666666666666667,53.65,52.91,51.2,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-650.json
parentrun,660,660,0.88,52.81,52.42,51.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-660.json
parentrun,670,670,0.8933333333333333,52.89,52.47,51.5,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-670.json
parentrun,680,680,0.9066666666666666,52.61,51.68,49.5,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-680.json
parentrun,690,690,0.92,52.7,52.34,51.5,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-690.json
parentrun,700,700,0.9333333333333333,52.78,51.71,49.2,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-700.json
parentrun,710,710,0.9466666666666667,53.02,52.26,50.5,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-710.json
parentrun,720,720,0.96,52.2,52.29,52.5,74.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-720.json
parentrun,730,730,0.9733333333333334,51.71,50.96,49.2,78.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-730.json
parentrun,740,740,0.9866666666666667,50.92,50.19,48.5,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-740.json
parentrun,750,750,1.0,51.88,51.68,51.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-750.json
parentrun,760,760,1.0133333333333334,53.23,52.02,49.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-760.json
parentrun,770,770,1.0266666666666666,52.25,51.81,50.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-770.json
parentrun,780,780,1.04,52.24,52.71,53.8,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-780.json
parentrun,790,790,1.0533333333333332,51.47,51.39,51.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-790.json
