[1/303] elapsed=0.8s rate=1.2330/s eta=244.9s
/home/work/.projects/LLM-OS-Models/Terminal/tb2_lite/scripts/replay_eval_sglang_llada.py:189: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "timestamp": datetime.utcnow().isoformat(),
[2/303] elapsed=2.2s rate=0.8906/s eta=338.0s
[3/303] elapsed=4.2s rate=0.7184/s eta=417.6s
[4/303] elapsed=6.8s rate=0.5864/s eta=509.9s
[5/303] elapsed=10.0s rate=0.5010/s eta=594.8s
[6/303] elapsed=14.1s rate=0.4267/s eta=696.1s
[7/303] elapsed=18.6s rate=0.3770/s eta=785.2s
[8/303] elapsed=19.5s rate=0.4093/s eta=720.7s
[9/303] elapsed=20.8s rate=0.4320/s eta=680.5s
[10/303] elapsed=22.2s rate=0.4500/s eta=651.2s
[11/303] elapsed=24.5s rate=0.4487/s eta=650.8s
[12/303] elapsed=27.5s rate=0.4370/s eta=665.8s
[13/303] elapsed=30.5s rate=0.4268/s eta=679.5s
[14/303] elapsed=33.6s rate=0.4164/s eta=694.1s
[15/303] elapsed=34.7s rate=0.4319/s eta=666.8s
[16/303] elapsed=37.2s rate=0.4306/s eta=666.5s
[17/303] elapsed=40.4s rate=0.4212/s eta=679.0s
[18/303] elapsed=44.5s rate=0.4049/s eta=703.9s
[19/303] elapsed=45.3s rate=0.4195/s eta=676.9s
[20/303] elapsed=46.4s rate=0.4314/s eta=656.1s
[21/303] elapsed=48.1s rate=0.4362/s eta=646.6s
[22/303] elapsed=51.0s rate=0.4311/s eta=651.8s
[23/303] elapsed=54.0s rate=0.4259/s eta=657.4s
[24/303] elapsed=57.2s rate=0.4198/s eta=664.7s
[25/303] elapsed=61.3s rate=0.4079/s eta=681.5s
[26/303] elapsed=62.3s rate=0.4170/s eta=664.2s
[27/303] elapsed=63.7s rate=0.4239/s eta=651.1s
[28/303] elapsed=65.2s rate=0.4293/s eta=640.6s
[29/303] elapsed=67.3s rate=0.4312/s eta=635.5s
[30/303] elapsed=70.4s rate=0.4263/s eta=640.4s
[31/303] elapsed=73.6s rate=0.4213/s eta=645.6s
[32/303] elapsed=77.3s rate=0.4139/s eta=654.7s
[33/303] elapsed=82.5s rate=0.3998/s eta=675.4s
[34/303] elapsed=83.4s rate=0.4078/s eta=659.7s
[35/303] elapsed=85.0s rate=0.4119/s eta=650.6s
[36/303] elapsed=87.0s rate=0.4137/s eta=645.3s
[37/303] elapsed=88.1s rate=0.4201/s eta=633.2s
[38/303] elapsed=90.0s rate=0.4221/s eta=627.8s
[39/303] elapsed=92.8s rate=0.4205/s eta=627.9s
[40/303] elapsed=95.8s rate=0.4174/s eta=630.1s
[41/303] elapsed=99.6s rate=0.4117/s eta=636.3s
[42/303] elapsed=104.0s rate=0.4040/s eta=646.0s
[43/303] elapsed=110.4s rate=0.3895/s eta=667.5s
[44/303] elapsed=111.4s rate=0.3951/s eta=655.5s
[45/303] elapsed=112.9s rate=0.3985/s eta=647.4s
[46/303] elapsed=114.7s rate=0.4009/s eta=641.1s
[47/303] elapsed=117.1s rate=0.4014/s eta=637.8s
[48/303] elapsed=119.8s rate=0.4005/s eta=636.6s
[49/303] elapsed=123.4s rate=0.3971/s eta=639.7s
[50/303] elapsed=128.2s rate=0.3900/s eta=648.7s
[51/303] elapsed=133.0s rate=0.3834/s eta=657.3s
[52/303] elapsed=133.7s rate=0.3891/s eta=645.2s
[53/303] elapsed=134.9s rate=0.3928/s eta=636.4s
[54/303] elapsed=136.3s rate=0.3963/s eta=628.4s
[55/303] elapsed=138.1s rate=0.3982/s eta=622.9s
[56/303] elapsed=140.4s rate=0.3990/s eta=619.1s
[57/303] elapsed=143.1s rate=0.3982/s eta=617.7s
[58/303] elapsed=146.9s rate=0.3948/s eta=620.5s
[59/303] elapsed=151.5s rate=0.3895/s eta=626.4s
[60/303] elapsed=156.3s rate=0.3839/s eta=633.0s
[61/303] elapsed=157.3s rate=0.3879/s eta=623.9s
[62/303] elapsed=159.4s rate=0.3890/s eta=619.6s
[63/303] elapsed=161.7s rate=0.3895/s eta=616.2s
[64/303] elapsed=164.7s rate=0.3885/s eta=615.1s
[65/303] elapsed=168.2s rate=0.3864/s eta=616.0s
[66/303] elapsed=173.0s rate=0.3816/s eta=621.1s
[67/303] elapsed=178.3s rate=0.3758/s eta=628.0s
[68/303] elapsed=179.3s rate=0.3794/s eta=619.5s
[69/303] elapsed=180.5s rate=0.3823/s eta=612.2s
[70/303] elapsed=182.9s rate=0.3827/s eta=608.9s
[71/303] elapsed=185.9s rate=0.3819/s eta=607.4s
[72/303] elapsed=190.2s rate=0.3786/s eta=610.1s
[73/303] elapsed=191.4s rate=0.3813/s eta=603.2s
[74/303] elapsed=192.7s rate=0.3841/s eta=596.2s
[75/303] elapsed=194.3s rate=0.3861/s eta=590.6s
[76/303] elapsed=195.9s rate=0.3880/s eta=585.1s
[77/303] elapsed=198.0s rate=0.3889/s eta=581.1s
[78/303] elapsed=201.2s rate=0.3876/s eta=580.5s
[79/303] elapsed=204.7s rate=0.3859/s eta=580.5s
[80/303] elapsed=205.8s rate=0.3887/s eta=573.7s
[81/303] elapsed=207.1s rate=0.3912/s eta=567.6s
[82/303] elapsed=208.7s rate=0.3928/s eta=562.6s
[83/303] elapsed=211.3s rate=0.3929/s eta=560.0s
[84/303] elapsed=214.2s rate=0.3922/s eta=558.3s
[85/303] elapsed=217.6s rate=0.3906/s eta=558.1s
[86/303] elapsed=221.3s rate=0.3886/s eta=558.4s
[87/303] elapsed=222.4s rate=0.3912/s eta=552.1s
[88/303] elapsed=223.8s rate=0.3932/s eta=546.8s
[89/303] elapsed=225.9s rate=0.3941/s eta=543.1s
[90/303] elapsed=228.6s rate=0.3937/s eta=541.0s
[91/303] elapsed=231.9s rate=0.3925/s eta=540.2s
[92/303] elapsed=235.4s rate=0.3908/s eta=539.9s
[93/303] elapsed=239.6s rate=0.3881/s eta=541.1s
[94/303] elapsed=240.5s rate=0.3909/s eta=534.7s
[95/303] elapsed=241.9s rate=0.3927/s eta=529.7s
[96/303] elapsed=244.5s rate=0.3927/s eta=527.1s
[97/303] elapsed=245.6s rate=0.3949/s eta=521.6s
[98/303] elapsed=246.9s rate=0.3969/s eta=516.6s
[99/303] elapsed=249.3s rate=0.3971/s eta=513.7s
[100/303] elapsed=252.3s rate=0.3964/s eta=512.1s
[101/303] elapsed=256.6s rate=0.3936/s eta=513.3s
[102/303] elapsed=257.8s rate=0.3957/s eta=507.9s
[103/303] elapsed=259.0s rate=0.3977/s eta=503.0s
[104/303] elapsed=260.9s rate=0.3986/s eta=499.2s
[105/303] elapsed=263.4s rate=0.3986/s eta=496.7s
[106/303] elapsed=266.4s rate=0.3979/s eta=495.1s
[107/303] elapsed=270.3s rate=0.3958/s eta=495.2s
[108/303] elapsed=274.8s rate=0.3931/s eta=496.1s
[109/303] elapsed=276.0s rate=0.3949/s eta=491.2s
[110/303] elapsed=277.3s rate=0.3967/s eta=486.5s
[111/303] elapsed=278.9s rate=0.3980/s eta=482.4s
[112/303] elapsed=281.3s rate=0.3981/s eta=479.7s
[113/303] elapsed=282.3s rate=0.4003/s eta=474.7s
[114/303] elapsed=283.5s rate=0.4021/s eta=470.0s
[115/303] elapsed=285.2s rate=0.4033/s eta=466.2s
[116/303] elapsed=287.7s rate=0.4032/s eta=463.8s
[117/303] elapsed=288.4s rate=0.4056/s eta=458.5s
[118/303] elapsed=291.0s rate=0.4055/s eta=456.2s
[119/303] elapsed=293.3s rate=0.4057/s eta=453.6s
[120/303] elapsed=296.2s rate=0.4051/s eta=451.8s
[121/303] elapsed=299.1s rate=0.4045/s eta=449.9s
[122/303] elapsed=302.2s rate=0.4037/s eta=448.4s
[123/303] elapsed=305.3s rate=0.4029/s eta=446.7s
[124/303] elapsed=306.1s rate=0.4051/s eta=441.8s
[125/303] elapsed=307.8s rate=0.4061/s eta=438.3s
[126/303] elapsed=309.8s rate=0.4067/s eta=435.2s
[127/303] elapsed=313.1s rate=0.4056/s eta=433.9s
[128/303] elapsed=313.8s rate=0.4079/s eta=429.1s
[129/303] elapsed=315.7s rate=0.4086/s eta=425.8s
[130/303] elapsed=318.5s rate=0.4081/s eta=423.9s
[131/303] elapsed=321.3s rate=0.4077/s eta=421.9s
[132/303] elapsed=324.1s rate=0.4072/s eta=419.9s
[133/303] elapsed=327.2s rate=0.4065/s eta=418.2s
[134/303] elapsed=327.9s rate=0.4086/s eta=413.6s
[135/303] elapsed=330.3s rate=0.4087/s eta=411.1s
[136/303] elapsed=333.4s rate=0.4079/s eta=409.5s
[137/303] elapsed=337.0s rate=0.4065/s eta=408.4s
[138/303] elapsed=341.7s rate=0.4039/s eta=408.5s
[139/303] elapsed=346.5s rate=0.4012/s eta=408.8s
[140/303] elapsed=347.2s rate=0.4032/s eta=404.3s
[141/303] elapsed=348.1s rate=0.4051/s eta=399.9s
[142/303] elapsed=349.5s rate=0.4063/s eta=396.3s
[143/303] elapsed=352.1s rate=0.4061/s eta=394.0s
[144/303] elapsed=355.2s rate=0.4054/s eta=392.2s
[145/303] elapsed=358.8s rate=0.4041/s eta=391.0s
[146/303] elapsed=363.4s rate=0.4018/s eta=390.8s
[147/303] elapsed=368.5s rate=0.3990/s eta=391.0s
[148/303] elapsed=373.3s rate=0.3965/s eta=391.0s
[149/303] elapsed=378.1s rate=0.3941/s eta=390.8s
[150/303] elapsed=383.7s rate=0.3910/s eta=391.3s
[151/303] elapsed=384.6s rate=0.3927/s eta=387.1s
[152/303] elapsed=385.8s rate=0.3940/s eta=383.2s
[153/303] elapsed=387.1s rate=0.3953/s eta=379.5s
[154/303] elapsed=388.8s rate=0.3961/s eta=376.1s
[155/303] elapsed=390.9s rate=0.3965/s eta=373.3s
[156/303] elapsed=393.6s rate=0.3963/s eta=370.9s
[157/303] elapsed=396.7s rate=0.3958/s eta=368.9s
[158/303] elapsed=399.6s rate=0.3954/s eta=366.7s
[159/303] elapsed=402.9s rate=0.3946/s eta=364.9s
[160/303] elapsed=406.4s rate=0.3937/s eta=363.2s
[161/303] elapsed=410.1s rate=0.3926/s eta=361.7s
[162/303] elapsed=410.9s rate=0.3942/s eta=357.6s
[163/303] elapsed=412.1s rate=0.3955/s eta=354.0s
[164/303] elapsed=413.7s rate=0.3964/s eta=350.6s
[165/303] elapsed=415.8s rate=0.3969/s eta=347.7s
[166/303] elapsed=418.4s rate=0.3968/s eta=345.3s
[167/303] elapsed=421.3s rate=0.3964/s eta=343.1s
[168/303] elapsed=424.5s rate=0.3958/s eta=341.1s
