[2026-05-16 03:13:29 KST] waiting for active DeepSeek-V4-Flash run to finish
[2026-05-16 03:13:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 104/151 remaining=47 finish=2026-05-16 05:49 KST
[2026-05-16 03:13:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 104/152 remaining=48 finish=2026-05-16 05:40 KST
[2026-05-16 03:13:29 KST] deepseek total 208/303 remaining=95 finish=2026-05-16 05:49 KST
[2026-05-16 03:18:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 104/152 remaining=48 finish=2026-05-16 05:42 KST
[2026-05-16 03:18:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 104/151 remaining=47 finish=2026-05-16 05:49 KST
[2026-05-16 03:18:29 KST] deepseek total 208/303 remaining=95 finish=2026-05-16 05:49 KST
[2026-05-16 03:23:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:44 KST
[2026-05-16 03:23:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 104/151 remaining=47 finish=2026-05-16 05:50 KST
[2026-05-16 03:23:29 KST] deepseek total 216/303 remaining=87 finish=2026-05-16 05:50 KST
[2026-05-16 03:28:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:47 KST
[2026-05-16 03:28:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 104/151 remaining=47 finish=2026-05-16 05:50 KST
[2026-05-16 03:28:29 KST] deepseek total 216/303 remaining=87 finish=2026-05-16 05:50 KST
[2026-05-16 03:33:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:50 KST
[2026-05-16 03:33:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:51 KST
[2026-05-16 03:33:29 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 05:51 KST
[2026-05-16 03:38:29 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:53 KST
[2026-05-16 03:38:29 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:52 KST
[2026-05-16 03:38:29 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 05:53 KST
[2026-05-16 03:43:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:51 KST
[2026-05-16 03:43:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:55 KST
[2026-05-16 03:43:30 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 05:55 KST
[2026-05-16 03:48:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:51 KST
[2026-05-16 03:48:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 05:58 KST
[2026-05-16 03:48:30 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 05:58 KST
[2026-05-16 03:53:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 06:01 KST
[2026-05-16 03:53:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:51 KST
[2026-05-16 03:53:30 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 06:01 KST
